Local;Idade;Parcela;DAP;Altura;BF;BC;BT;v
Cristal;10.08;1;5.89;9.4;9.8095;1.88166;11.69116;0.016336
Cristal;10.08;1;6.02;10.25;9.81402;1.74342;11.55744;0.018313
Cristal;10.08;1;7;12.85;15.06354;0.79464;15.85818;0.029351
Cristal;10.08;1;10.5;14.5;39.31294;4.71596;44.0289;0.070275
Cristal;10.08;1;10.66;16.2;42.40398;6.04562;48.4496;0.080106
Cristal;10.08;1;11.62;16.4;36.90369;7.11074;44.01443;0.087701
Cristal;10.08;1;12.41;18.6;68.24346;6.60132;74.84478;0.107106
Cristal;10.08;1;12.41;17.4;55.96019;5.56591;61.5261;0.100358
Cristal;10.08;1;12.42;18.5;68.83391;7.71839;76.55229;0.118724
Cristal;10.08;1;12.57;16.6;65.03009;9.37132;74.40141;0.111898
Cristal;10.08;1;12.57;17.8;64.2894;7.25655;71.54596;0.117051
Cristal;10.08;1;12.73;17;72.55089;11.29177;83.84267;0.110671
Cristal;10.08;1;14.8;18.2;86.29706;13.18263;99.47969;0.161525
Cristal;10.08;1;15.76;18.6;88.41731;18.56148;106.97879;0.190372
Cristal;10.08;1;15.92;18.7;133.84354;15.71284;149.55639;0.193478
Cristal;10.08;1;17.03;19.1;141.28607;18.27574;159.5618;0.236951
Cristal;10.08;2;5.25;8.35;7.53049;0.59133;8.12181;0.011572
Cristal;10.08;2;8.12;11.4;18.54729;2.11289;20.66017;0.032722
Cristal;10.08;2;9.23;15;22.21879;1.21126;23.43005;0.039894
Cristal;10.08;2;9.23;15.7;30.53696;3.49697;34.03393;0.055345
Cristal;10.08;2;9.55;13.8;27.07407;4.10892;31.18299;0.048165
Cristal;10.08;2;11.94;18.4;65.12977;5.6737;70.80346;0.11803
Cristal;10.08;2;12.1;17.7;60.31102;5.59282;65.90384;0.102181
Cristal;10.08;2;12.1;13.5;45.57404;1.92401;47.49805;0.099961
Cristal;10.08;2;13.37;19.5;63.8113;13.20893;77.02024;0.128394
Cristal;10.08;2;13.37;19.4;89.90457;5.59742;95.50199;0.155692
Cristal;10.08;2;13.53;18.5;78.42265;9.26006;87.68272;0.13137
Cristal;10.08;2;14.32;18.7;71.96873;8.3848;80.35353;0.151052
Cristal;10.08;2;15.92;19.3;100.08758;18.31017;118.39774;0.181005
Cristal;10.08;2;19.26;20.8;194.64626;33.47048;228.11674;0.32435
Cristal;10.08;3;9.87;14.3;26.99211;3.27762;30.26973;0.054669
Cristal;10.08;3;12.25;15.1;47.65326;7.70632;55.35959;0.082809
Cristal;10.08;3;12.41;17.1;60.88011;9.12035;70.00045;0.114736
Cristal;10.08;3;14.16;17.9;80.41532;14.01726;94.43258;0.141632
Cristal;10.08;3;16.07;19.2;107.3891;20.4608;127.8499;0.190329
Cristal;10.08;3;17.98;18.25;138.34059;26.8001;165.14069;0.232118
Cristal;10.08;3;18.94;19.3;155.33444;35.10987;190.44431;0.246025
Cristal;10.08;3;19.1;21.3;158.35916;36.24354;194.60271;0.26818
Cristal;10.08;3;19.42;19.8;170.71498;42.007;212.72198;0.291418
Cristal;10.08;3;19.74;16.7;131.84146;27.35912;159.20058;0.233259
Cristal;10.08;3;20.69;19.6;173.63616;41.40598;215.04214;0.334884
Cristal;10.08;4;5.57;8;5.76898;0.97791;6.74689;0.011273
Cristal;10.08;4;5.89;9.15;7.58333;0.779;8.36233;0.013909
Cristal;10.08;4;7.48;10.2;14.17401;1.68949;15.86351;0.026406
Cristal;10.08;4;7.64;12.3;18.79539;2.56824;21.36363;0.032026
Cristal;10.08;4;7.64;11.7;17.91171;1.78267;19.69439;0.029626
Cristal;10.08;4;8.91;11.7;21.09781;6.62996;27.72776;0.037172
Cristal;10.08;4;9.55;12.5;24.46717;4.56594;29.03311;0.047252
Cristal;10.08;4;9.71;13.6;31.12893;2.38612;33.51506;0.05335
Cristal;10.08;4;10.98;16;55.56872;8.85034;64.41906;0.081421
Cristal;10.08;4;12.1;17;66.42128;8.36849;74.78977;0.10412
Cristal;10.08;4;12.57;16.45;75.09809;11.1064;86.2045;0.107201
Cristal;10.08;4;12.89;15.8;69.92462;12.2051;82.12972;0.106808
Cristal;10.08;4;15.44;18.3;110.35466;19.93694;130.2916;0.176496
Cristal;10.08;4;15.76;17.5;104.94683;24.35923;129.30606;0.168028
Cristal;10.08;4;16.55;17.9;121.52396;19.39851;140.92247;0.186434
Cristal;10.08;4;17.19;17.9;119.71846;26.97209;146.69054;0.216876
Encruzilhada;10.75;5;11.62;16.9;47.24846;2.05567;49.30413;0.089203
Encruzilhada;10.75;5;11.94;16.7;45.29218;5.95562;51.24779;0.094196
Encruzilhada;10.75;5;12.89;17.3;60.97184;4.90986;65.8817;0.105126
Encruzilhada;10.75;5;14.32;18.4;72.02798;15.1411;87.16907;0.131198
Encruzilhada;10.75;5;15.12;19.1;84.40828;8.75702;93.1653;0.163354
Encruzilhada;10.75;5;15.12;19.3;88.97942;15.65549;104.63491;0.160911
Encruzilhada;10.75;5;15.12;19.3;83.79233;10.13019;93.92252;0.156549
Encruzilhada;10.75;5;15.28;19.5;101.19625;18.4564;119.65264;0.178163
Encruzilhada;10.75;5;16.23;18.3;94.15686;12.22347;106.38032;0.16591
Encruzilhada;10.75;5;16.55;20.5;114.05747;27.9467;142.00417;0.219066
Encruzilhada;10.75;5;19.1;21.9;157.39345;37.4779;194.87135;0.279581
Encruzilhada;10.75;5;19.74;20.2;174.45091;31.63618;206.08708;0.275187
Encruzilhada;10.75;6;6.68;10.4;10.82114;5.44245;16.26359;0.020394
Encruzilhada;10.75;6;7.64;9.9;16.45799;2.48603;18.94403;0.028452
Encruzilhada;10.75;6;8.75;14.4;20.96318;3.58809;24.55127;0.042168
Encruzilhada;10.75;6;9.39;14.5;38.784;4.50718;43.29118;0.048738
Encruzilhada;10.75;6;11.14;15.6;42.10083;10.36838;52.46921;0.072787
Encruzilhada;10.75;6;11.46;17.4;52.11206;6.02861;58.14066;0.093275
Encruzilhada;10.75;6;12.25;17.9;69.30009;11.49631;80.7964;0.110689
Encruzilhada;10.75;6;13.05;18;71.90198;15.33935;87.24134;0.117138
Encruzilhada;10.75;6;13.21;18.4;49.65522;6.04036;55.69558;0.117973
Encruzilhada;10.75;6;13.85;18.2;79.65724;14.28904;93.94628;0.137587
Encruzilhada;10.75;6;14.48;17.5;78.80722;15.09943;93.90665;0.142626
Encruzilhada;10.75;6;15.44;19.2;107.50588;19.66707;127.17294;0.184689
